Wave,Intense
799.9647217,0.001163073
798.9946289,0.000935122
798.0241089,0.000492237
797.0532227,0.000637203
795.9431763,0.001394153
794.9714966,0.00105349
793.9994507,0.000937112
793.0269775,0.001283698
792.0541382,0.000981331
790.9418945,0.000511117
789.9683228,0.000919133
788.9943237,0.000717476
788.0199585,0.000919923
787.0452271,0.001092948
785.9307861,0.000672862
784.9552612,0.000699572
783.9793091,0.001170576
783.0030518,0.000405349
782.0264282,0.00112477
781.0494385,0.00079143
779.932373,0.000646912
778.9545898,0.001303367
777.9764404,0.000561602
776.9978638,0.000826031
776.0189819,0.001523226
775.0397339,0.000772752
774.0600586,0.001121499
772.9400635,0.001641877
771.9596558,0.001401991
770.9788208,0.000763245
769.9976807,0.000748769
769.0161743,0.001052342
768.0343018,0.000793017
767.052063,0.000805542
766.069519,0.001050666
764.946106,0.001098804
763.9627075,0.000822306
762.9790039,0.00115595
761.994873,0.001096979
761.010437,0.001236819
760.0256348,0.001577705
759.0404663,0.000847787
758.0549316,0.000727519
757.0690308,0.00127884
755.9418945,0.001174524
754.9552002,0.001454614
753.9682007,0.00120236
752.980835,0.001040079
751.9931641,0.000584118
751.0050659,0.000813238
750.0166016,0.000998683
749.027832,0.000777289
748.0386963,0.001226865
747.0491943,0.001092404
746.0593872,0.001341194
745.0692139,0.001423724
743.9371338,0.001148462
742.946167,0.001089938
741.954834,0.001198426
740.9631958,0.001134187
739.9711914,0.000744775
738.9788818,0.001229472
737.986145,0.000810437
736.993103,0.000886783
735.9996948,0.000873722
735.0059814,0.001168311
734.0119019,0.000931002
733.0174561,0.001148701
732.0227051,0.001316853
731.0275269,0.001013435
730.0321045,0.000899956
729.0362549,0.000876829
728.0401001,0.001039535
727.0435791,0.001127899
726.0467529,0.000636443
725.0495605,0.001056947
724.052063,0.000918061
723.0541382,0.000928387
722.0559692,0.000797302
721.057373,0.001012735
720.0584717,0.000946753
719.0592651,0.001211181
718.0596924,0.000795715
717.0597534,0.001167454
716.0595093,0.001164719
715.0588989,0.001294672
714.0579834,0.001244724
713.0567017,0.000870988
712.0551147,0.00095614
711.0531616,0.000949405
710.0509033,0.000874139
709.0482788,0.000891626
708.0453491,0.000757381
707.0420532,0.000897966
706.0384521,0.000691883
705.0344849,0.001177989
704.0302124,0.001034528
703.0256348,0.000750408
702.0206909,0.000902891
701.0153809,0.000816524
700.0097656,0.000863865
699.0038452,0.001068003
697.9976196,0.000859514
696.9909668,0.001098499
695.9840698,0.000813603
694.9768066,0.000960372
693.9692383,0.00071992
692.9613037,0.001080148
691.953064,0.000650242
690.944519,0.001137435
689.9356079,0.000865713
689.0706177,0.001112618
688.0610962,0.000958912
687.0513306,0.000871956
686.0411377,0.000896998
685.0307007,0.000908226
684.0198975,0.000783861
683.0087891,0.001171008
681.9973755,0.000996724
680.9855957,0.001142904
679.9735107,0.001005836
678.9611206,0.001199782
677.9483643,0.00112994
676.9353638,0.001255579
676.0667725,0.001008213
675.0531616,0.000700489
674.0391846,0.001202829
673.0249023,0.001149163
672.0103149,0.000906862
670.9954224,0.000848778
669.9802246,0.00077273
668.9646606,0.000862636
667.9487915,0.00127358
666.9326172,0.001174226
666.0614014,0.000871606
665.0446167,0.001471184
664.0275879,0.001203485
663.0101929,0.000840805
661.9924927,0.000975676
660.9744873,0.001104221
659.9561768,0.001032673
658.9375,0.001191154
658.0641479,0.00119067
657.0449829,0.001144245
656.0254517,0.000917234
655.0056152,0.001392372
653.9854736,0.00147409
652.9650269,0.001196153
651.9442749,0.000967644
651.0690918,0.001156718
650.0477905,0.001498289
649.026123,0.00134939
648.0042114,0.00112471
646.9819336,0.001106553
645.9594116,0.000950567
644.9365234,0.001278319
644.0595703,0.000744566
643.0361328,0.001100712
642.0123901,0.000785567
640.9884033,0.001014434
639.9640503,0.001011655
638.9394531,0.00131207
638.0609131,0.001296751
637.0357666,0.001180187
636.0102539,0.000721484
634.984436,0.00091432
633.958374,0.001030698
632.9319458,0.000979692
632.0519409,0.001180954
631.0250244,0.001300573
629.9978027,0.001264825
628.9702148,0.001100212
627.9423828,0.001174353
627.0611572,0.001359753
626.0327759,0.001397967
625.0040894,0.001174554
623.9750977,0.001449481
622.9458008,0.001265846
622.0633545,0.000919215
621.0335693,0.001054205
620.003418,0.000992551
618.9730225,0.001413107
617.9423218,0.001477398
617.0586548,0.001160473
616.0274048,0.001195401
614.9958496,0.001240373
613.9640503,0.001050361
612.9319458,0.000808515
612.0470581,0.001041032
611.0144043,0.001382537
609.9814453,0.00092151
608.9482422,0.001174174
608.0623779,0.001085065
607.0286255,0.000977166
605.9945679,0.001065731
604.9602661,0.001279645
604.0734253,0.001052789
603.0385742,0.001190245
602.003479,0.001061119
600.9680176,0.001338594
599.932312,0.000978515
599.0443115,0.001298726
598.0081177,0.001225047
596.9715576,0.001121961
595.9347534,0.0013249
595.0458374,0.001296587
594.0085449,0.00146348
592.9709473,0.001349449
591.9330444,0.001487896
591.0432129,0.001470618
590.0048218,0.001646571
588.9661255,0.001463287
587.9271851,0.00177937
587.036377,0.001934007
585.9969482,0.001919001
584.9571533,0.002013065
584.0657349,0.002165243
583.0254517,0.00250423
581.9849243,0.002789907
580.9440918,0.002898522
580.0517578,0.003302373
579.010437,0.00377883
577.9688721,0.004032448
576.927002,0.004576906
576.0337524,0.005595423
574.991394,0.006283544
573.9487305,0.007170245
573.0548096,0.007894106
572.0116577,0.009785898
570.9682617,0.011432
570.0736694,0.013282985
569.0297241,0.015299134
567.9855347,0.017996512
566.9411011,0.021434285
566.0456543,0.024476416
565.0006714,0.029002465
563.9554443,0.033710867
563.0593262,0.038657941
562.0136108,0.044208236
560.9676514,0.050100602
560.0709229,0.056429334
559.0244141,0.064542733
557.9777222,0.07243523
556.9307251,0.079842731
556.0330811,0.085860573
554.9855957,0.093112677
553.9378052,0.100121059
553.0395508,0.106676102
551.991333,0.111517578
550.9428101,0.115839683
550.0438843,0.118322328
548.9949341,0.120306939
547.9456787,0.121118777
547.0461426,0.121045217
545.99646,0.119507007
544.9464722,0.117612153
544.0462646,0.11539603
542.9958496,0.111762367
541.9451294,0.108303517
541.0443115,0.104977682
539.9931641,0.101274736
538.9417114,0.096920155
538.0402832,0.093906492
536.9883423,0.090510741
535.9362183,0.087238096
535.0341187,0.08422932
533.9815063,0.080920771
532.9286499,0.078706764
532.0259399,0.076991215
530.9725952,0.074763127
530.069519,0.073122829
529.0157471,0.071665064
527.9616699,0.070360914
527.0579834,0.070001118
526.003418,0.069372386
524.9486694,0.0690974
524.0443726,0.069125317
522.9891357,0.069376119
521.9336548,0.069953404
521.0287476,0.070459217
519.9728394,0.070987001
519.0675659,0.071483135
518.0111694,0.072095335
516.9545288,0.072416462
516.048645,0.072646707
514.9915161,0.072384745
513.9342041,0.071804643
513.02771,0.071355194
511.9699402,0.070247345
511.0630493,0.068792947
510.0048218,0.067044526
508.9463501,0.065181442
508.0389099,0.063432455
506.9799805,0.060922839
506.0721436,0.058288306
505.0127869,0.055618331
503.953186,0.05299592
503.0447693,0.050948679
501.9847107,0.048729457
500.9244385,0.046160787
500.0154419,0.043903753
498.9547119,0.041739523
498.0453186,0.04017017
496.9841919,0.038366318
496.0744324,0.03674157
495.0128479,0.035241976
493.9510193,0.033615202
493.0406799,0.032340124
491.9784241,0.031613708
491.067749,0.030419238
490.0050354,0.029364765
488.9421387,0.028226629
488.0308533,0.027373262
486.9675293,0.02670823
486.0558777,0.025956817
484.9921265,0.025082201
483.9281006,0.024364919
483.0159302,0.023574606
481.9515076,0.022842564
481.0389404,0.02214475
479.9740906,0.021412268
479.0611877,0.020661019
477.9959106,0.019599296
476.9304199,0.01878912
476.0169678,0.017879151
474.9510498,0.016830355
474.0372314,0.016092665
472.9708862,0.015220068
472.0567322,0.014544629
470.9899902,0.01365006
470.0754395,0.013163179
469.0083008,0.012297325
467.940918,0.011657134
467.0258484,0.010933504
465.9580688,0.010315359
465.0426331,0.009871826
463.9744263,0.009356633
463.0586548,0.008843958
461.9900513,0.008569419
461.0739441,0.007922068
460.0049438,0.007490419
458.93573,0.007114857
458.0190735,0.006868079
456.9494324,0.006533243
456.0324402,0.006408073
454.9624329,0.005932927
454.0450745,0.005959213
452.9746704,0.005308896
452.0569763,0.005192578
450.986145,0.005098231
450.0681458,0.004644528
448.9969177,0.004307963
447.9255066,0.004183114
447.006958,0.004066564
445.9351501,0.003805324
445.0162659,0.003733948
443.9440613,0.003598541
443.0248413,0.003357217
441.9522705,0.003263995
441.0327148,0.003163576
439.9597473,0.003021277
439.039856,0.00300353
437.9664917,0.002663158
437.0462952,0.002636254
435.9725342,0.002521694
435.052002,0.002631426
433.9778748,0.002377577
433.0570374,0.002287567
431.9825134,0.002255671
431.0613403,0.002180986
429.9864197,0.002002172
429.0649414,0.002189063
427.9896545,0.002000518
427.0678406,0.002167001
425.9921875,0.002489418
425.0700378,0.002337851
423.9940186,0.00198397
423.0715637,0.001798555
421.9951782,0.001539171
421.0723877,0.001819715
419.995636,0.001722753
419.0725403,0.001632564
417.9954224,0.001542672
417.071991,0.001520157
415.9945068,0.001464687
415.0707703,0.001429454
413.9929199,0.001492791
413.0688782,0.001459278
411.9906616,0.001485206
411.0663147,0.00146278
409.9877319,0.001355246
409.0630798,0.00131657
407.9841614,0.001349166
407.0592041,0.001479186
405.9798889,0.001375668
405.0546265,0.001250602
403.9749756,0.001254074
403.049408,0.001226664
401.9693909,0.001499832
401.0435181,0.001262538
399.9631653,0.001534417
399.0369873,0.001269206
397.9562683,0.001320981
397.0298157,0.001331434
395.948761,0.00142172
395.0219727,0.001139998
393.9405823,0.001190767
393.0135193,0.001184881
391.9317627,0.001306541
391.0043945,0.001219109
390.0769043,0.001223408
388.9946594,0.001122549
388.066864,0.000965893
386.9842834,0.001085736
386.0561829,0.001294397
384.9732666,0.001032174
384.0448914,0.001075871
382.9616394,0.001327135
382.032959,0.001140684
380.9493713,0.001259632
380.0204163,0.001327507
